queue,priority,tags,subject,body
Technical Support,medium,"Hardware Failure, Problem Resolution, Product Support, Technical Support",Problem with the display of the Dell XPS 13 9310 flashing,"Dear Tech Online Store customer support, I experience flashing screen problems intermittently with my Dell XPS 13 9310. This problem causes an important inconvenience during my work. Your quick assistance to solve this problem would be greatly appreciated. Thank you. Thank you. Thank you, <name>"
IT Support,low,"Customer Service, Problem Resolution, Product Support, Technical Support",Colour printing quality problem,"Dear customer service, I encounter constant problems with the color printing quality of my HP DeskJet 3755. The impressions are below expected standards and negatively affect my work. Please help me solve this problem as soon as possible."
IT Support,medium,"General Inquiry, IT Support, Performance Tuning, Technical Guidance",Assistance with optimizing cloud infrastructure costs,"Dear IT Services support team, 

I am writing to request your assistance with optimizing our cloud infrastructure costs and enabling efficient cloud service management in our AWS account. We have been analyzing our expenses and noticed a need for better cost management. The product we are using is AWS Management Service. Could you please provide guidance or resources to help us achieve this? We are eager to implement strategies that will enhance our operational efficiency and reduce unnecessary costs.

Thank you for your support. We look forward to your prompt response.

Best regards, 
<name>
<tel_num>
<acc_num>"
Product Support,low,"Customer Service, General Inquiry, Product Support, Technical Support",Compatibility Inquiry,"Dear Customer Support,

I recently purchased a MacBook Air M1 from your store. I need to know if this model is compatible with my external wireless monitor setup. Please provide the necessary information at your earliest convenience.

Thank you,
<name>"
Technical Support,high,"Account Assistance, Product Support, Technical Support, Urgent Issue",Subscription Error Issue,Unable to access email and Excel for the past week.
Product Support,low,"IT Support, Problem Resolution, Software Bug, Technical Support",Assistance Needed for Windows 10 Update Installation Issue,"Hello Tech Online Store Support Team, I am experiencing issues while attempting to install Windows 10 updates on my Microsoft Surface Pro 7. The installation process fails each time, and I have tried multiple methods to resolve the issue without success. Could you please provide assistance to resolve this problem? My account number is <acc_num>. You can contact me at <tel_num> for further details. Thank you for your support. Regards, <name>"
IT Support,high,"IT Support, Network Issue, Technical Support, Urgent Issue",High Priority Configuration Support Request,"Dear Support Time, I have a high priority ticket requesting configuration support for Cisco Router ISR4331 in our corporate environment. Immediate assistance is required to ensure a minimum downtime. Please refer to the details provided under the ticket number <ticket_number>. Contact me by <tel_num> or by email at <email>. Thank you, <name>"
Technical Support,medium,"Problem Resolution, Software Bug, Technical Support, Urgent Issue",Ticket Attachment Issue,Needs resolution in Jira.
Technical Support,low,"Performance Tuning, Problem Resolution, Software Bug, Technical Support",Loading Slowness Problem on Jira Software,"Dear Customer Support, I am facing significant slowness when loading project management panels on Jira Software 8.20. This problem became noticeable soon after recent weekly availability check updates. Could you investigate and resolve this issue as quickly as possible? Your quick assistance would be greatly appreciated. Thank you, <name> Account Number: <acc_num> Phone: <tel_num>"
Technical Support,high,"Hardware Failure, Product Support, Software Bug, Technical Support",Keyboard connection problem,"Dear Customer Service, I am writing to inform you about a persistent problem that I am facing with my Microsoft Surface Pro 7. After the last firmware update, the removable keyboard is repeatedly failing to connect correctly. This problem has been occurring and significantly affects my productivity. I have tried all the recommended troubleshooting steps, but nothing seems to solve the problem. Could you provide me with guidance on how to address this problem? My account number is <acc_num>. You can contact me at <tel_num> or by email for more information. Your prompt assistance would be greatly appreciated."
Technical Support,high,"Problem Resolution, Software Bug, Technical Support, Urgent Issue",Problem with Zoom 5.11.0 during the web seminar,"Dear Support, During our recent web seminar using Zoom 5.11.0, attendees experienced repeated audio cuts and connectivity issues. Please guide us on how to resolve this urgent matter. Thank you, <name>"
Customer Service,low,"IT Support, Product Support, Technical Guidance, Technical Support",Support Needed for Microsoft Office 365 Configuration,"Dear Support Team, I am requesting help setting up email accounts and shared folders using Microsoft Office 365 in a new domain. Please provide guidance to complete this process successfully. Thank you. Carefully, <name>"
Product Support,high,"Feature Request, General Inquiry, Product Support, Technical Support",Jira update request,"Dear Customer Support, I am writing to request an update to version 8.20 of Jira Software to take advantage of the new Confluence integrations for better project management. Additional features are essential to improve the productivity of our team. Thank you for your help."
Billing and Payments,high,"Account Assistance, Billing Issue, Customer Service, Problem Resolution",Overcharge on yearly Microsoft Office 365 subscription,"Dear Tech Online Store Customer Support,

I recently noticed an overcharge on my Microsoft Office 365 yearly subscription for our team's cloud services. Could you please assist me in resolving this issue?

My account number is <acc_num>. I would appreciate a prompt resolution.

Thank you,
<name>
<tel_num>"
